arch,code_hash,ithemal-og_cycles,llvm-rthroughput_cycles,reg_cycles,tsf_cycles
haswell,01452c837c243840,598.000000,1,98.3720,617.9385
haswell,01c1298780000000894f7c,599.000000,1,161.6781,623.9739
haswell,01c28d58014421d289d048c1e004498d34014c8b1e4d39d8,329.000000,1,267.2026,260.9617
haswell,01c34139dd,99.000000,1,91.2239,99.1939
haswell,01c54139ed440f47ed4883e3f848837c2458004989df,398.000000,1,194.0410,306.0204
haswell,01c8448d410121f889c148c1e104488b0c0e4839cb,809.000000,1,234.4665,246.5249
haswell,01c8448d490121f889c148c1e1044801f14c8b014d39c4,426.000000,1,275.5890,272.3807
haswell,01d0448d420121f089c2488d14d1488b3a4839fd,345.000000,1,230.0201,227.2934
haswell,01d0448d420121f089c248c1e2044801ca488b3a48397c2410,406.000000,1,285.1457,265.3028
haswell,01d0448d420121f089c248c1e2044801ca488b3a48397c2428,412.000000,1,285.1457,265.3028
haswell,01d0448d420121f089c248c1e2044801ca488b3a4939fc,426.000000,1,278.7404,272.2014
haswell,01d0448d4a0121f889c248c1e2044801f24c8b024c39c1,426.000000,1,276.1948,279.0590
haswell,01d0448d4a0121f889c248c1e204488d0c164c8b014c39442448,336.000000,1,275.2850,263.1081
haswell,01d0448d4a0121f889c248c1e2054801ca4c8b024d39c4,413.000000,1,276.0754,271.3766
haswell,01e8034424344429e0,299.000000,1,117.1337,98.5322
haswell,01ed89e84c39e8,99.000000,1,102.9284,98.8695
haswell,01f0448d4e0121f889c6486bf6184801d64c8b064d39c4,654.000000,1,277.1803,261.6084
haswell,01f0448d56014421c889c6488d3cf50000000048c1e6064829fe4d8d3c30418b3f39f9,440.000000,1,333.5184,314.6491
haswell,01f648894c240889750c4889ce,199.000000,1,259.2802,205.0697
haswell,01f64c89ff,100.000000,1,87.6980,98.5881
haswell,01f8448d57014421c889c248c1e204498d1c10488b134839542428,245.000000,1,271.4032,255.4217
haswell,01f9448d470121c189cf8b3cbe4139fd,700.000000,1,201.8898,204.4817
haswell,01f9448d470121d189cd48c1e5064801f5488b7d184839f8,898.000000,1,282.8183,259.8034
haswell,01fe418932428b540d0029fa4289540d00438b040c39c2,1499.000000,1,281.2350,221.9080
haswell,0344241c488b5c24100fb6750048980fb614038b0495e0dc2c0185c0,1298.000000,1,282.1423,316.7504
haswell,03442434488bbc24c00000004d8d57104429e04c39d7,197.000000,1,136.2737,146.2124
haswell,094c24504883c501396c2428,598.000000,1,109.7004,621.8317
haswell,09c34d39fe,100.000000,1,104.5010,99.0980
haswell,09c38b442438488b7c243085c0,125.000000,1,138.3218,107.3786
haswell,09c8448b8a2c0100004585c9,98.000000,1,100.5762,98.9373
haswell,09d8,100.000000,1,104.8558,98.5619
haswell,0c0845897e2c41884645a810,197.000000,1,244.2917,206.0603
haswell,0f102481440f100486450f59c4410f58e00f1124814883c0044983e904,198.000000,1,224.6075,300.2253
haswell,0f188c87000200000f188cae00020000c5f8104487c0c4e2791864aef0c46279bcc4c4e279186caef4c46279b8cd4883c5024883c004c5f8104487c0c4e2791864aef0c46279bcc4c4e279186caef4c46279b8cd4883c5024883c004c5f8104487c0c4e2791864aef0c46279bcc4c4e279186caef4c46279b8cd4883c5024883c004c5f8104487c0c4e2791864aef0c46279bcc4c4e279186caef4c46279b8cd4883c5024883c0040f188c8700020000c5f8104487c0c4e2791864aef0c46279bcc4c4e279186caef4c46279b8cd4883c5024883c004c5f8104487c0c4e2791864aef0c46279bcc4c4e279186caef4c46279b8cd4883c5024883c004c5f8104487c0c4e2791864aef0c46279bcc4c4e279186caef4c46279b8cd4883c5024883c004c5f8104487c0c4e2791864aef0c46279bcc4c4e279186caef4c46279b8cd4883c5024883c004,3987.500000,1,492.3334,738.9689
haswell,0f188f00020000c5fc1047800f188e00020000c4e2f5b8e00f188e40020000c462edb8c0c4e3fd01c0b1c4e2f5b8e8c462edb8c8c4e3fd01c01bc4e2f5b8f0c462edb8d0c4e3fd01c0b1c4e2f5b8f8c5fc104ea0c462edb8d8c5fc1056c0c5fc1047a0c4e2f5b8e0c462edb8c0c4e3fd01c0b1c4e2f5b8e8c462edb8c8c4e3fd01c01bc4e2f5b8f0c462edb8d04883c740c4e3fd01c0b1c4e2f5b8f8c5fc104ee0c462edb8d8c5fc10164881c6800000000f188f00020000c5fc1047800f188e00020000c4e2f5b8e00f188e40020000c462edb8c0c4e3fd01c0b1c4e2f5b8e8c462edb8c8c4e3fd01c01bc4e2f5b8f0c462edb8d0c4e3fd01c0b1c4e2f5b8f8c5fc104ea0c462edb8d8c5fc1056c0c5fc1047a0c4e2f5b8e0c462edb8c0c4e3fd01c0b1c4e2f5b8e8c462edb8c8c4e3fd01c01bc4e2f5b8f0c462edb8d04883c740c4e3fd01c0b1c4e2f5b8f8c5fc104ee0c462edb8d8c5fc10164881c6800000000f188f00020000c5fc1047800f188e00020000c4e2f5b8e00f188e40020000c462edb8c0c4e3fd01c0b1c4e2f5b8e8c462edb8c8c4e3fd01c01bc4e2f5b8f0c462edb8d0c4e3fd01c0b1c4e2f5b8f8c5fc104ea0c462edb8d8c5fc1056c0c5fc1047a0c4e2f5b8e0c462edb8c0c4e3fd01c0b1c4e2f5b8e8c462edb8c8c4e3fd01c01bc4e2f5b8f0c462edb8d04883c740c4e3fd01c0b1c4e2f5b8f8c5fc104ee0c462edb8d8c5fc10164881c6800000000f188f00020000c5fc1047800f188e00020000c4e2f5b8e00f188e40020000c462edb8c0c4e3fd01c0b1c4e2f5b8e8c462edb8c8c4e3fd01c01bc4e2f5b8f0c462edb8d0c4e3fd01c0b1c4e2f5b8f8c5fc104ea0c462edb8d8c5fc1056c0c5fc1047a0c4e2f5b8e0c462edb8c0c4e3fd01c0b1c4e2f5b8e8c462edb8c8c4e3fd01c01bc4e2f5b8f0c462edb8d04883c740c4e3fd01c0b1c4e2f5b8f8c5fc104ee0c462edb8d8c5fc10164881c68000000048ffc8,4375.000000,1,492.0147,1327.7484
haswell,0f1f0041bd01000000,56.000000,1,54.7004,51.8844
haswell,0f1f004489e04489e69983e601f7fd89d70fafc5c1ef1f410faff501fad1fa01c201d64401fe3b4b0c89742410,1000.000000,1,492.1366,1321.7594
haswell,0f1f004883c4084889e85b5d415c415d415e415f,302.000000,1,355.1223,326.5830
haswell,0f1f004883e8084c8b08413909,136.000000,1,130.9257,105.0420
haswell,0f1f004885c9,61.000000,1,56.7886,49.2602
haswell,0f1f004889ce4989dc48c1ee0349d3e481e6f81f00004d0924360fb73001f16685f6,1493.000000,1,317.3581,667.5094
haswell,0f1f004889de31ff,98.000000,1,81.7980,87.6126
haswell,0f1f00488b134c89e64889ef4883c308,131.000000,1,144.1667,120.5057
haswell,0f1f00488b334889ef4883c310,117.000000,1,119.0037,99.6076
haswell,0f1f00488b41100fb7006685c0,117.000000,1,115.7154,104.7026
haswell,0f1f00488b442440488db424800000004883c6104889c5488d2cad00000000488d34ae488d3c87c5fc774c89e0482b44244048894424484883e0f8,1200.000000,1,409.7076,1312.5914
haswell,0f1f00488b52084839d7,398.000000,1,86.3644,98.9852
haswell,0f1f00488b5b084885db,398.000000,1,84.7969,98.8492
haswell,0f1f00488db424800000004883c610c5fc77488b4424484883c00148894424504883e0f8,1098.000000,1,272.4272,1121.0737
haswell,0f1f00488db424800000004883c620c5fc77488b4424484883c00248894424504883e0f8,1098.000000,1,272.4272,1121.0737
haswell,0f1f00488db424800000004883c660c5d957e4c5d157edc5c957f6c5c157ffc4413957c0c4413157c9c4412957d2c4412157dbc4411957e4c4411157edc4410957f6c4410157ff4c89e048c1f803,485.000000,1,459.3063,459.5069
haswell,0f1f004983c2084d39d0,98.000000,1,93.5766,99.5733
